Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Grand Total
Albania,2.77,2.75,2.59,2.67,2.82,2.67,2.56,2.44,2.27,2.34,2.38,2.37,2.46,2.58,2.59,2.73,2.8,2.68,2.82,2.87,2.93,55.09
Antigua and Barbuda,2.73,3.21,3.09,3.34,2.97,2.78,2.45,2.28,2.13,2.29,3.14,3.1,3.08,3.09,3.47,3.16,2.86,2.74,2.91,2.56,3.38,60.76
Argentina,4.5,4.59,4.03,3.77,3.74,3.91,4.02,4.25,4.51,5.67,5.57,5.68,6.13,6.22,6.33,6.82,5.59,6.6,5.96,6.06,6.62,110.57
Armenia,0.95,1.34,1.17,1.21,1.29,1.48,1.59,1.61,1.49,1.81,1.69,1.67,1.58,1.38,1.51,1.61,1.64,1.37,1.23,1.41,2.36,31.39
Australia,5.46,5.46,5.67,5.62,5.8,5.73,5.72,5.88,5.97,6.24,6.09,6.26,6.18,5.93,6.91,7.23,7.17,7.22,7.2,7.55,8,133.29
Austria,6.83,6.83,6.9,6.98,7,6.99,6.94,6.94,7.18,7.45,7.4,7.29,7.43,7.42,7.52,7.51,7.49,7.67,7.71,7.85,8.76,154.09
Azerbaijan,0.87,0.79,0.73,0.78,0.86,0.92,0.87,0.91,0.86,1.13,1.01,0.95,1.11,1.06,1.13,1.3,1.16,1,0.93,1.28,1.59,21.24
Bahamas,1.51,1.57,1.51,1.63,1.61,1.59,1.66,1.8,2.08,2.35,2.37,2.37,2.31,2.57,2.5,2.28,2.72,3.7,3,3.08,4.6,48.81
Bahrain,2.37,2.5,2.62,2.56,2.36,2.28,2.16,2.12,2.09,2.86,2.67,2.53,2.68,2.81,2.87,3.24,2.98,2.49,2.37,2.2,2.4,53.16
Barbados,2.76,2.94,3.14,3.76,4.34,3.87,3.7,3.3,3.58,3.9,3.62,3.35,4.3,3.81,3.29,3.2,3.15,3,2.94,2.78,3.75,72.48
Belarus,4.15,4.26,4.08,4.39,4.4,4.52,3.99,3.99,3.48,3.48,3.85,3.09,3.44,3.57,3.37,3.69,4.19,3.98,3.9,4.13,4.54,82.49
Belgium,5.96,6.14,6.13,6.79,7,6.9,6.81,6.78,7.27,7.88,7.78,7.9,8.03,8.04,8.08,8.26,8.3,8.3,8.33,8.1,8.76,157.54
Belize,1.85,2.37,2.44,2.32,2.27,2.37,2.59,3.16,3.75,3.7,3.75,3.72,3.57,3.76,3.87,4.01,4.18,3.95,3.98,4.09,4.97,70.67
Bosnia and Herzegovina,4.08,4.33,4.43,5.49,5.16,4.94,5,5.27,5.4,6.14,6.14,6.21,6.51,6.59,6.68,6.47,6.56,6.27,6.21,6.22,6.84,120.94
Brazil,3.47,3.51,3.69,3.51,3.47,3.35,3.54,3.48,3.5,3.71,3.58,3.47,3.35,3.55,3.7,3.85,3.95,3.95,3.89,3.92,4.62,77.06
Brunei Darussalam,2.15,2.12,2.12,2.16,2.12,1.87,1.64,1.71,1.69,2.16,2.09,1.71,1.69,1.72,1.77,2.27,2.42,2.15,2.3,2.07,2.25,42.18
Bulgaria,3.47,3.85,4.2,4.37,4.1,4.1,3.63,3.43,3.48,3.55,3.92,3.85,3.83,4.04,4.47,4.13,4.11,4.12,4.22,4.19,5.1,84.16
Cabo Verde,3.16,3.47,3.46,3.3,3.12,2.95,2.97,2.98,2.45,2.78,2.83,2.87,3.07,3.06,3.04,3.17,3.08,3.28,3.21,3.25,3.7,65.2
Canada,6.01,6.28,6.42,6.59,6.62,6.6,6.49,6.57,6.7,7.52,7.48,7.31,7.41,7.37,7.24,7.59,7.69,7.57,7.58,7.64,9.7,150.38
Chile,2.52,2.6,2.73,2.8,2.72,2.59,2.5,2.61,2.93,3.38,3.19,3.19,3.37,3.55,3.73,3.99,4.23,4.57,4.65,4.75,5.5,72.1
China,0.99,0.97,1.11,1.25,1.3,1.37,1.39,1.43,1.74,2.15,2.2,2.33,2.54,2.69,2.79,2.97,2.89,2.87,2.92,3,3.06,43.96
Colombia,4.2,4.46,4.37,4.47,4.26,4.36,4.57,4.59,4.75,5.27,5.11,4.98,4.71,4.9,5.06,5.33,5.3,5.45,5.46,5.77,6.53,103.9
Costa Rica,4.26,4.24,4.59,4.63,4.38,4.26,4.58,4.63,5.07,5.58,5.81,5.7,5.5,5.45,5.44,5.52,5.37,5.18,5.27,5.24,5.64,106.34
Croatia,6.5,5.89,4.86,5.13,5.2,5.82,5.86,6.41,6.43,6.72,6.69,6.3,6.36,5.48,5.56,5.57,5.58,5.53,5.57,5.55,6.36,123.37
Cuba,5.51,5.67,5.73,5.65,5.47,7.43,7.08,9.88,10.29,11.28,9.7,10.07,8.06,9.14,10.96,11.57,10.95,10.24,9.78,9.87,11.37,185.7
Cyprus,2.18,2.23,2.49,2.48,2.23,2.25,2.34,2.31,2.5,2.75,2.98,3.06,3.01,3.16,2.96,2.87,2.81,2.76,2.88,3.84,6.33,60.42
Czechia,5.06,5.13,5.44,5.71,5.56,5.4,5.27,5.02,5.13,6.01,5.72,5.8,5.83,6.44,6.27,5.92,5.82,6.2,6.32,6.44,8.08,122.57
Denmark,6.74,7.05,7.29,7.47,7.53,7.61,7.69,7.81,7.99,9.02,8.94,8.74,8.88,8.72,8.71,8.72,8.63,8.48,8.46,8.47,8.93,171.88
Dominica,3.36,2.57,2.44,2.7,2.57,2.79,2.7,2.52,2.61,2.67,2.96,3.15,3.48,3.28,3.21,3.25,3.33,3.64,4.04,3.31,3.52,64.1
Dominican Republic,1.71,1.7,1.68,1.16,1.15,1.39,1.4,1.68,2.12,2.33,2.52,2.73,2.76,2.78,2.46,2.37,2.66,2.68,2.53,2.59,3.24,45.64
