Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Grand Total
Albania,1492,1148,1300,1484,1492,1420,1316,1172,1080,1076,528,,,,,,,,,,,13508
Antigua and Barbuda,16,12,4,8,8,12,4,8,12,8,,,20,4,4,12,16,24,,,,172
Argentina,16680,17396,15776,18244,17608,19304,17528,20244,17432,16928,20212,20420,19856,22664,23952,28676,27588,27352,26508,25468,,419836
Armenia,4184,3724,4448,4796,,,4508,4688,4380,4516,3968,4064,3820,3812,4340,4928,4428,2528,1524,1340,,69996
Australia,21548,21252,22508,21568,20952,,19304,20672,22148,21192,21668,23496,23688,25856,28116,28776,28904,30160,28516,30048,25244,485616
Austria,8772,8948,9332,11700,10312,10448,10424,10720,9776,10352,10360,9972,10316,10856,10248,11556,11052,12568,12384,12716,12456,225268
Azerbaijan,6460,3720,3588,3628,4004,,,476,,,,,,,,,,,,,,21876
Bahamas,48,32,28,20,48,32,48,60,48,64,72,68,48,36,44,52,,,,,,748
Bahrain,60,128,108,200,144,184,176,204,164,136,84,112,100,68,72,,,,,,,1940
Barbados,36,56,48,48,60,56,88,32,52,40,40,44,44,44,,,,,,,,688
Belarus,20152,20176,19700,15260,,,,13704,11608,10088,8756,7044,,4972,4360,,,,4428,,,140248
Belgium,18328,17992,19364,19904,17896,18768,17192,18452,18500,18604,17456,16760,18504,18272,16512,18108,17064,17484,17568,,,342728
Belize,120,96,60,68,108,80,92,96,72,84,112,120,88,116,124,152,164,,,,,1752
Bosnia and Herzegovina,,,,,,,,,,,,2576,,,2996,,2500,2616,3104,2692,2540,19024
Brazil,122944,123632,128384,134196,142152,134444,140408,140912,139196,141960,150368,160224,154816,163120,159204,170500,175308,184116,181940,187520,,3035344
Brunei Darussalam,204,268,260,272,200,188,196,220,164,204,216,160,120,164,148,124,112,112,152,144,,3628
Bulgaria,6388,5456,4904,5396,5340,6688,6608,7268,6544,5116,4688,4500,5508,5180,5104,5604,4608,4416,4540,5248,,109104
Cabo Verde,,,,,,,,,,,,28,,,,,,,,,,28
Canada,37440,37304,37816,38800,38428,40284,37572,41120,41980,41720,41448,43008,42892,46104,45616,48316,47488,49580,50140,49332,,856388
Chile,8216,10212,9240,10156,11340,11280,10828,11984,10092,10852,13004,11324,12580,11592,11764,12708,12088,13316,13324,,,215900
"China, Hong Kong SAR",8384,7716,7356,7308,7532,7936,6684,7252,7356,6512,7156,6692,6808,5924,5996,5492,5304,4892,,,,122300
Colombia,30552,33228,32172,38012,36552,38048,39056,39856,44392,41060,43704,43272,43536,46356,49832,52728,53332,57076,54992,64984,,882740
Costa Rica,2956,3084,2472,3164,2992,2784,2544,2932,2700,2780,3376,2908,3148,3088,3280,3072,3612,3400,3436,3824,3484,65036
Croatia,3580,3228,3112,4212,4348,4896,4236,5244,4936,6052,5780,6104,6340,6584,6688,7504,6712,7420,,7404,,104380
Cuba,8800,9548,8008,10100,10664,10448,9492,11084,10684,10868,11492,12376,11872,13668,14092,15340,14792,15892,14660,15604,,239484
Cyprus,28,,,,360,312,308,356,320,404,340,324,424,508,480,468,516,448,408,,,6004
