Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahamas,4.97,4.92,5.28,5.08,5.32,5.32,5.56,5.8,5.61,5.2
Finland,7.07,7.03,6.33,6.2,5.77,5.83,5.39,5.37,5.57,5.47
Iceland,6.91,7.46,6.64,6.39,6.03,6.43,5.69,5.75,5.89,5.79
Sweden,7.52,7.76,6.9,6.61,6.3,6.37,5.88,5.93,6.09,5.96
Norway,7.86,8.32,7.33,7.13,6.62,6.82,6.33,6.36,6.33,6.3
Estonia,8.47,7.65,7.38,7.63,7.85,6.75,6.2,5.9,6.7,6.35
Canada,7.76,7.87,7.71,7.41,7.29,7.15,6.31,6.9,7.09,6.39
Fiji,7.19,7.04,7.1,7.12,7.23,7.32,7.39,7.45,7.52,7.36
Australia,9.03,8.08,7.31,7.26,6.91,6.6,6.67,6.89,7.11,8.93
Dominican Republic,7.52,7.04,7.46,7.22,7.7,7.87,8.02,8.32,8,7.59
Brunei Darussalam,8.33,8.42,7.62,8.08,8.02,7.81,7.91,7.03,6.7,6.86
New Zealand,9.35,8.54,7.67,7.51,7.19,6.94,6.91,7.14,7.45,8.61
Saint Kitts and Nevis,7.93,7.53,7.91,7.75,8.22,8.59,8.66,8.97,8.59,8.05
Dominica,7.86,7.7,8.12,7.89,8.36,8.81,8.88,9.23,8.75,8.22
United States of America,9.29,9.36,9.07,8.75,8.62,8.31,7.54,7.96,8.13,7.18
Antigua and Barbuda,8.17,7.79,8.2,8.05,8.5,8.89,8.95,9.27,8.87,8.3
Portugal,10.55,10.68,9.43,9.44,7.9,8.68,8.42,9.04,7.9,7.34
Ireland,9.9,10.6,9.43,9.33,8.74,9.16,8.08,8.13,8.31,8.2
Saint Lucia,8.43,8.34,8.81,8.55,9.1,9.62,9.56,10.03,9.51,8.98
Uruguay,9.18,9.2,9.03,9.72,9.52,9.9,9.75,9.27,8.82,8.48
Saint Vincent and the Grenadines,8.85,8.75,9.23,8.97,9.55,10.09,10.05,10.5,9.94,9.41
Russian Federation,11.88,10.53,10.22,10.46,10.8,9.49,8.71,8.38,9.22,8.88
Barbados,9.15,9.04,9.6,9.32,9.95,10.53,10.34,10.91,10.36,9.79
Grenada,9.4,9.24,9.78,9.54,10.18,10.76,10.59,11.14,10.57,10.08
Trinidad and Tobago,9.79,9.44,9.97,9.79,10.34,10.94,10.95,11.27,10.72,10.26
Mauritius,10.6,10.54,10.59,10.64,10.66,10.75,10.73,10.35,10.45,10.48
Belize,9.91,9.8,10.18,10.25,10.8,11.1,11.1,11.36,10.9,10.51
Luxembourg,12.38,12.63,11.32,11.03,10.27,10.45,9.75,9.84,9.71,8.89
Denmark,12.27,12.98,11.44,10.97,10.39,10.73,9.78,9.97,10.02,9.66
Switzerland,12.76,13,11.74,11.38,10.51,10.82,9.99,9.89,10.01,8.97
Spain,12.72,13.09,11.83,11.22,10.31,11.11,10.04,10.21,10.08,9.34
Guyana,10.49,10.09,10.76,10.41,11.08,11.72,11.76,12.03,11.52,11.11
Lithuania,13.87,12.77,12.19,12.65,12.92,11.44,10.3,9.91,11.12,10.37
Suriname,11.36,11.12,11.86,11.46,12.23,12.96,12.9,13.3,12.75,12.17
France,14.45,14.72,13.29,12.95,11.88,12.21,11.24,11.29,11.23,10.46
Japan,14.22,13.91,12.37,13.45,13.41,12.75,12.54,11.89,10.87,10.84
Netherlands,15.01,15.53,13.75,13.2,12.49,12.59,11.6,11.63,11.49,10.74
Germany,15.06,15.42,13.76,13.27,12.47,12.64,11.66,11.78,11.7,10.73
Maldives,13.39,12.38,13.27,13.67,12.08,12.23,13.66,12.52,12.47,13
